date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:06	2603/2603	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2014:28:15%20GMT	http://trananphu.com/robots.txt		(from )
21:28:08	27999/27999	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2014:28:16%20GMT	http://trananphu.com/	C:/My%20Web%20Sites/http___trananphu.com/trananphu.com/index.html	(from )
21:28:09	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22599f6e08-1d970%22	http://www.trananphu.com/theme/css/bootstrap.min.css	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/css/bootstrap.min.css	(from http://trananphu.com/)
21:28:09	9333/9333	---MCZ	200	added ('OK')	text/css	etag:W/%22599f6e10-2475%22	http://www.trananphu.com/theme/style/style.css	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/style/style.css	(from http://trananphu.com/)
21:28:10	5237/5237	---M--	200	added ('OK')	application/javascript	etag:%22599f6e0e-1475%22	http://www.trananphu.com/theme/js/bootstrap-carousel.js	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/js/bootstrap-carousel.js	(from http://trananphu.com/)
21:28:10	3887/3887	---MCZ	200	added ('OK')	text/css	etag:W/%22599f6e2d-f2f%22	http://www.trananphu.com/theme/js/jQuerySliderEvolution/slider/themes/fresh/jquery.slider.css	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/js/jQuerySliderEvolution/slider/themes/fresh/jquery.slider.css	(from http://trananphu.com/)
21:28:10	1978/1978	---MCZ	200	added ('OK')	text/css	etag:W/%22599f6e08-7ba%22	http://www.trananphu.com/theme/css/show3d.css	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/css/show3d.css	(from http://trananphu.com/)
21:28:11	7632/7632	---M--	200	added ('OK')	application/javascript	etag:%22599f6e0f-1dd0%22	http://www.trananphu.com/theme/js/modernizr.custom.53451.js	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/js/modernizr.custom.53451.js	(from http://trananphu.com/)
21:28:14	14336/14336	---M--	200	added ('OK')	application/javascript	etag:%22599f6e0f-3800%22	http://www.trananphu.com/theme/js/jquery.gallery.js	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/js/jquery.gallery.js	(from http://trananphu.com/)
21:28:15	29421/29421	---M--	200	added ('OK')	application/javascript	etag:%22599f6e2a-72ed%22	http://www.trananphu.com/theme/js/jQuerySliderEvolution/slider/jquery.slider.min.js	C:/My%20Web%20Sites/http___trananphu.com/www.trananphu.com/theme/js/jQuerySliderEvolution/slider/jquery.slider.min.js	(from http://trananphu.com/)
